names,Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK,congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
johnny isakson,Johnny Isakson ,Sen,03-Jan-05,SenatorIsakson,SenatorIsakson,SenatorIsakson,SenatorIsakson,,116,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,2021,0.402,-0.011,-10.54373,0.96184,271,2,,0.336,0.153
mazie hirono,Mazie Hirono ,Sen,03-Jan-13,MazieHirono,MazieHirono,MazieHirono,MazieHirono,,116,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.511,-0.09,-88.67756,0.87247,650,44,,-0.575,-0.002
brian schatz,Brian Schatz ,Sen,26-Dec-12,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,,116,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian",S001194,1972,,-0.444,-0.105,-98.28278,0.8564,634,42,,-0.466,-0.111
jim risch,Jim Risch ,Sen,03-Jan-09,SenatorRisch,SenatorRisch,SenatorRisch,SenatorRisch,,116,Senate,40902,63,0,ID,200,,,"RISCH, Jim",R000584,1943,,0.552,0.397,-27.84408,0.95807,650,11,,0.573,0.636
mike crapo,Mike Crapo ,Sen,03-Jan-99,MikeCrapo,MikeCrapo,MikeCrapo,MikeCrapo,,116,Senate,29345,63,0,ID,200,,,"CRAPO, Mike",C000880,1951,,0.5,0.281,-33.63616,0.9506,664,16,,0.492,0.65
dick durbin,Dick Durbin ,Sen,03-Jan-15,SenatorDurbin,SenatorDurbin,SenatorDurbin,SenatorDurbin,,116,Senate,15021,21,0,IL,100,,,"DURBIN, Dick",D000563,1944,,-0.348,-0.304,-134.52996,0.81484,657,71,,-0.287,-0.12
tammy duckworth,Tammy Duckworth ,Sen,03-Jan-17,SenDuckworth,SenDuckworth,SenDuckworth,SenDuckworth,,116,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.335,0.098,-96.5181,0.86122,646,36,,-0.376,0.208
mike braun,Mike Braun ,Sen,03-Jan-19,SenatorBraun,SenatorBraun,SenatorBraun,SenatorBraun,,116,Senate,41900,22,0,IN,200,,,"BRAUN, Mike",B001310,1954,,0.8,0.6,-61.55663,0.91133,663,29,,0.837,0.335
todd young,Todd Young ,Sen,03-Jan-19,SenToddYoung,SenToddYoung,SenToddYoung,SenToddYoung,,116,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.454,-0.044,-68.10246,0.90125,655,31,,0.46,-0.329
joni ernst,Joni Ernst ,Sen,03-Jan-19,SenJoniErnst,SenJoniErnst,SenJoniErnst,SenJoniErnst,,116,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.55,-0.094,-57.1826,0.91652,656,22,,0.544,-0.139
chuck grassley,Chuck Grassley ,Sen,03-Jan-19,ChuckGrassley,ChuckGrassley,ChuckGrassley,ChuckGrassley,,116,Senate,14226,31,0,IA,200,,,"GRASSLEY, Chuck",G000386,1933,,0.355,-0.046,-59.4792,0.91357,658,20,,0.491,0.026
pat roberts,Pat Roberts ,Sen,03-Jan-97,SenPatRoberts,SenPatRoberts,SenPatRoberts,SenPatRoberts,,116,Senate,14852,32,0,KS,200,,,"ROBERTS, Pat",R000307,1936,,0.413,-0.09,-23.41567,0.96396,638,2,,0.339,0.203
jerry moran,Jerry Moran ,Sen,03-Jan-11,JerryMoran,JerryMoran,JerryMoran,JerryMoran,,116,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.418,0.227,-87.01983,0.86562,603,35,,0.452,-0.276
mitch mcconnell,Mitch McConnell ,Sen,03-Jan-15,McConnellPress,McConnellPress,McConnellPress,McConnellPress,,116,Senate,14921,51,0,KY,200,,,"McCONNELL, Mitch",M000355,1942,,0.405,0.02,-63.78687,0.90893,668,16,,0.297,0.201
rand paul,Rand Paul ,Sen,03-Jan-11,RandPaul,RandPaul,RandPaul,RandPaul,,116,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.889,-0.459,-175.84736,0.74849,607,91,,0.879,-0.477
bill cassidy,Bill Cassidy ,Sen,03-Jan-15,SenBillCassidy,SenBillCassidy,SenBillCassidy,,(Name is present with no Twitter handle in Github),116,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.465,-0.063,-48.47294,0.92583,629,24,,0.504,-0.06
john kennedy,John Kennedy ,Sen,03-Jan-17,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,,116,Senate,41703,45,0,LA,200,,,"KENNEDY, John",K000393,1951,,0.563,-0.018,-79.07354,0.88628,655,39,,0.681,-0.043
angus king,Angus King ,Sen,03-Jan-13,SenAngusKing,SenAngusKing,SenAngusKing,SenAngusKing,,116,Senate,41300,2,0,ME,328,,,"KING, Angus",K000383,1944,,-0.161,-0.211,-83.64809,0.8823,668,33,,-0.167,-0.201
susan collins,Susan Collins ,Sen,03-Jan-97,SenatorCollins,SenatorCollins,SenatorCollins,SenatorCollins,,116,Senate,49703,2,0,ME,200,,,"COLLINS, Susan",C001035,1952,,0.116,-0.536,-60.46803,0.91346,668,17,,0.139,-0.404
ben cardin,Ben Cardin ,Sen,03-Jan-07,SenatorCardin,SenatorCardin,SenatorCardin,SenatorCardin,,116,Senate,15408,52,0,MD,100,,,"CARDIN, Ben",C000141,1943,,-0.319,-0.224,-108.59348,0.84722,655,39,,-0.277,-0.113
chris hollen,Chris Van Hollen,Sen,03-Jan-17,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,,116,Senate,20330,52,0,MD,100,,,"HOLLEN, Chris",V000128,1959,,-0.391,-0.208,-105.02434,0.85431,667,40,,-0.38,-0.333
elizabeth warren,Elizabeth Warren ,Sen,03-Jan-13,SenWarren,SenWarren,SenWarren,SenWarren,,116,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.752,-0.335,-14.42096,0.96609,418,3,,-0.792,-0.434
ed markey,Ed Markey ,Sen,16-Jul-13,SenMarkey,SenMarkey,SenMarkey,SenMarkey,,116,Senate,14435,3,0,MA,100,,,"MARKEY, Ed",M000133,1946,,-0.514,-0.459,-68.18201,0.89207,597,23,,-0.625,-0.759
debbie stabenow,Debbie Stabenow ,Sen,03-Jan-01,SenStabenow,SenStabenow,SenStabenow,SenStabenow,,116,Senate,29732,23,0,MI,100,,,"STABENOW, Debbie",S000770,1950,,-0.343,-0.013,-115.45596,0.83423,637,58,,-0.397,-0.108
gary peters,Gary Peters ,Sen,03-Jan-19,SenGaryPeters,SenGaryPeters,SenGaryPeters,SenGaryPeters,,116,Senate,20923,23,0,MI,100,,,"PETERS, Gary",P000595,1958,,-0.246,-0.185,-106.03941,0.85301,667,45,,-0.296,-0.027
amy klobuchar,Amy Klobuchar ,Sen,03-Jan-07,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,,116,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.284,-0.366,-138.38243,0.75221,486,72,,-0.476,-0.367
tina smith,Tina Smith ,Sen,03-Jan-18,SenTinaSmith,SenTinaSmith,SenTinaSmith,SenTinaSmith,,116,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.398,-0.062,-81.47617,0.8842,662,37,,-0.413,-0.032
roger wicker,Roger Wicker ,Sen,31-Dec-07,SenatorWicker,SenatorWicker,SenatorWicker,SenatorWicker,,116,Senate,29534,46,0,MS,200,,,"WICKER, Roger",W000437,1951,,0.376,0.347,-28.03182,0.95884,667,8,,0.364,0.196
cindy hyde-smith,Cindy Hyde-Smith ,Sen,09-Apr-18,SenHydeSmith,SenHydeSmith,SenHydeSmith,SenHydeSmith,,116,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.437,0.381,-24.26196,0.96369,656,10,,0.363,0.38
josh hawley,Josh Hawley ,Sen,03-Jan-19,SenHawleyPress,SenHawleyPress,SenHawleyPress,SenHawleyPress,,116,Senate,41901,34,0,MO,200,,,"HAWLEY, Josh",H001089,1979,,0.739,-0.176,-94.06548,0.86791,664,37,,0.618,-0.383
roy blunt,Roy Blunt ,Sen,10-Apr-18,RoyBlunt,RoyBlunt,RoyBlunt,RoyBlunt,,116,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.398,0.18,-26.60674,0.96013,654,6,,0.341,0.156
jon tester,Jon Tester ,Sen,03-Jan-07,SenatorTester,SenatorTester,SenatorTester,SenatorTester,,116,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.215,0.15,-87.73664,0.873,646,35,,-0.237,0.158
steve daines,Steve Daines ,Sen,03-Jan-15,SteveDaines,SteveDaines,SteveDaines,SteveDaines,,116,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.58,-0.03,-65.10393,0.90566,657,26,,0.58,-0.214
deb fischer,Deb Fischer ,Sen,03-Jan-13,SenatorFischer,SenatorFischer,SenatorFischer,SenatorFischer,,116,Senate,41302,35,0,NE,200,,,"FISCHER, Deb",F000463,1951,,0.459,0.292,-26.04829,0.9603,643,11,,0.48,0.486
ben sasse,Ben Sasse ,Sen,03-Jan-15,SenSasse,SenSasse,SenSasse,SenSasse,,116,Senate,41503,35,0,NE,200,,,"SASSE, Ben",S001197,1972,,0.669,-0.25,-41.30191,0.93788,644,15,,0.717,-0.012
jacky rosen,Jacky Rosen ,Sen,03-Jan-19,SenJackyRosen,SenJackyRosen,SenJackyRosen,SenJackyRosen,,116,Senate,21743,65,0,NV,100,,,"ROSEN, Jacky",R000608,1957,,-0.283,0.284,-67.30142,0.90361,664,22,,-0.321,0.339
catherine masto,Catherine Cortez Masto,Sen,03-Jan-19,sencortezmasto,sencortezmasto,sencortezmasto,sencortezmasto,,116,Senate,41700,65,0,NV,100,,,"MASTO, Catherine",C001113,1964,,-0.361,0.338,-63.04223,0.90942,664,24,,-0.354,0.337
jeanne shaheen,Jeanne Shaheen ,Sen,03-Jan-09,SenatorShaheen,SenatorShaheen,SenatorShaheen,SenatorShaheen,,116,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.238,-0.139,-83.26932,0.88164,661,35,,-0.216,-0.036
maggie hassan,Maggie Hassan ,Sen,03-Jan-17,Senatorhassan,Senatorhassan,Senatorhassan,Senatorhassan,,116,Senate,41702,4,0,NH,100,,,"HASSAN, Maggie",H001076,1958,,-0.233,0.024,-77.05802,0.89105,668,29,,-0.214,0.006
robert menendez,Robert Menendez ,Sen,17-Jan-06,SenatorMenendez,SenatorMenendez,SenatorMenendez,SenatorMenendez,,116,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.367,-0.122,-122.71413,0.83126,664,52,,-0.382,-0.125
cory booker,Cory Booker ,Sen,31-Oct-13,SenBooker,SenBooker,SenBooker,SenBooker,,116,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory",B001288,1969,,-0.585,-0.272,-52.28939,0.87944,407,27,,-0.551,-0.382
martin heinrich,Martin Heinrich ,Sen,03-Jan-13,MartinHeinrich,MartinHeinrich,MartinHeinrich,MartinHeinrich,,116,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.33,-0.022,-119.97817,0.82978,643,54,,-0.393,-0.015
tom udall,Tom Udall ,Sen,03-Jan-09,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,,116,Senate,29924,66,0,NM,100,,,"UDALL, Tom",U000039,1948,,-0.453,0.161,-82.54995,0.88176,656,36,,-0.435,0.04
kirsten gillibrand,Kirsten Gillibrand ,Sen,26-Jan-09,GillibrandNY,GillibrandNY,GillibrandNY,GillibrandNY,,116,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.471,-0.427,-90.14839,0.85276,566,50,,-0.654,-0.349
chuck schumer,Chuck Schumer ,Sen,03-Jan-17,SenSchumer,SenSchumer,SenSchumer,SenSchumer,,116,Senate,14858,13,0,NY,100,,,"SCHUMER, Chuck",S000148,1950,,-0.356,-0.417,-105.09554,0.85442,668,39,,-0.416,-0.387
thom tillis,Thom Tillis ,Sen,03-Jan-15,senthomtillis,senthomtillis,senthomtillis,senthomtillis,,116,Senate,41504,47,0,NC,200,,,"TILLIS, Thom",T000476,1960,,0.402,-0.099,-43.86706,0.93305,633,14,,0.426,0.202
richard burr,Richard Burr ,Sen,03-Jan-05,SenatorBurr,SenatorBurr,SenatorBurr,SenatorBurr,,116,Senate,29548,47,0,NC,200,,,"BURR, Richard",B001135,1955,,0.435,-0.07,-25.13575,0.95773,582,5,,0.342,0.189
kevin cramer,Kevin Cramer ,Sen,03-Jan-19,SenKevinCramer,SenKevinCramer,SenKevinCramer,SenKevinCramer,,116,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961,,0.395,0.394,-24.01256,0.96379,651,9,,0.373,0.247
john hoeven,John Hoeven ,Sen,03-Jan-11,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,,116,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.384,0.439,-25.93019,0.9613,657,13,,0.371,0.274
sherrod brown,Sherrod Brown ,Sen,03-Jan-07,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,,116,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.428,-0.109,-137.94369,0.81062,657,59,,-0.374,-0.106
rob portman,Rob Portman ,Sen,03-Jan-11,SenRobPortman,SenRobPortman,SenRobPortman,SenRobPortman,,116,Senate,29386,24,0,OH,200,,,"PORTMAN, Rob",P000449,1955,,0.371,-0.208,-28.7474,0.95732,659,6,,0.314,0.104
james inhofe,James Inhofe ,Sen,16-Nov-94,JimInhofe,JimInhofe,InhofePress,InhofePres,JimInhofe(CSPAN) InhofePress(REST),116,Senate,15424,53,0,OK,200,,,"INHOFE, James",I000024,1934,,0.552,0.045,-46.16816,0.93133,649,27,,0.617,-0.005
james lankford,James Lankford ,Sen,03-Jan-15,SenatorLankford,SenatorLankford,SenatorLankford,SenatorLankford,,116,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.607,0.168,-31.32674,0.95419,668,11,,0.687,0.296
jeff merkley,Jeff Merkley ,Sen,03-Jan-09,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,,116,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.444,-0.734,-75.99338,0.8917,663,26,,-0.409,-0.724
ron wyden,Ron Wyden ,Sen,05-Feb-96,RonWyden,RonWyden,RonWyden,RonWyden,,116,Senate,14871,72,0,OR,100,,,"WYDEN, Ron",W000779,1949,,-0.33,-0.478,-125.22449,0.8267,658,67,,-0.376,-0.627
bob jr.,Bob Casey Jr.,Sen,03-Jan-07,SenBobCasey,SenBobCasey,SenBobCasey,SenBobCasey,,116,Senate,40703,14,0,PA,100,,,"Jr., Bob",C001070,1960,,-0.314,0.176,-100.36481,0.8605,668,48,,-0.339,0.197
pat toomey,Pat Toomey ,Sen,03-Jan-11,SenToomey,SenToomey,SenToomey,SenToomey,,116,Senate,29935,14,0,PA,200,,,"TOOMEY, Pat",T000461,1961,,0.624,-0.378,-63.42411,0.90579,641,28,,0.707,-0.107
sheldon whitehouse,Sheldon Whitehouse ,Sen,03-Jan-07,SenWhitehouse,SenWhitehouse,SenWhitehouse,SenWhitehouse,,116,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.354,-0.085,-128.06597,0.81174,614,52,,-0.291,0.019
jack reed,Jack Reed ,Sen,03-Jan-97,SenJackReed,SenJackReed,SenJackReed,SenJackReed,,116,Senate,29142,5,0,RI,100,,,"REED, Jack",R000122,1949,,-0.367,-0.174,-120.17077,0.83491,666,62,,-0.313,-0.076
lindsey graham,Lindsey Graham ,Sen,03-Jan-03,GrahamBlog,GrahamBlog,GrahamBlog,GrahamBlog,,116,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey",G000359,1955,,0.375,-0.251,-30.27863,0.95365,638,12,,0.325,-0.006
tim scott,Tim Scott ,Sen,02-Jan-13,SenatorTimScott,SenatorTimScott,SenatorTimScott,SenatorTimScott,,116,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.629,-0.018,-41.62178,0.93906,662,19,,0.557,0.093
mike rounds,Mike Rounds ,Sen,03-Jan-15,SenatorRounds,SenatorRounds,SenatorRounds,SenatorRounds,,116,Senate,41505,37,0,SD,200,,,"ROUNDS, Mike",R000605,1954,,0.374,0.043,-45.74236,0.92429,581,19,,0.437,0.388
john thune,John Thune ,Sen,03-Jan-19,SenJohnThune,SenJohnThune,SenJohnThune,SenJohnThune,,116,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.429,0.201,-25.52563,0.9624,666,8,,0.394,0.28
marsha blackburn,Marsha Blackburn ,Sen,03-Jan-19,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,,116,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952,,0.626,0.148,-43.79779,0.93542,656,19,,0.695,0.164
lamar alexander,Lamar Alexander ,Sen,03-Jan-03,SenAlexander,SenAlexander,SenAlexander,SenAlexander,,116,Senate,40304,54,0,TN,200,,,"ALEXANDER, Lamar",A000360,1940,,0.324,-0.176,-28.71808,0.94821,540,9,,0.322,-0.086
ted cruz,Ted Cruz ,Sen,03-Jan-13,SenTedCruz,SenTedCruz,SenTedCruz,SenTedCruz,,116,Senate,41304,49,0,TX,200,,,"CRUZ, Ted",C001098,1970,,0.818,-0.227,-49.88118,0.92388,630,25,,0.908,-0.418
john cornyn,John Cornyn ,Sen,02-Dec-02,JohnCornyn,JohnCornyn,JohnCornyn,JohnCornyn,,116,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.473,-0.084,-38.23812,0.94379,661,16,,0.44,0.093
mitt romney,Mitt Romney ,Sen,03-Jan-19,SenatorRomney,SenatorRomney,SenatorRomney,SenatorRomney,,116,Senate,41902,67,0,UT,200,,,"ROMNEY, Mitt",R000615,1947,,0.292,0.291,-101.84364,0.85761,663,44,,0.39,0.705
mike lee,Mike Lee ,Sen,03-Jan-19,SenMikeLee,SenMikeLee,SenMikeLee,SenMikeLee,,116,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.891,-0.454,-118.712,0.83493,658,71,,0.91,-0.414
bernie sanders,Bernie Sanders ,Sen,03-Jan-07,SenSanders,SenSanders,SenSanders,SenSanders,,116,Senate,29147,6,0,VT,328,,,"SANDERS, Bernie",S000033,1941,,-0.538,-0.39,-40.0861,0.87334,296,20,,-0.775,-0.467
patrick leahy,Patrick Leahy ,Sen,03-Jan-75,SenatorLeahy,SenatorLeahy,SenatorLeahy,SenatorLeahy,,116,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick",L000174,1940,,-0.36,-0.121,-117.4496,0.83399,647,67,,-0.279,-0.04
tim kaine,Tim Kaine ,Sen,03-Jan-13,timkaine,timkaine,,,(Name is present with no Twitter handle in Github),116,Senate,41305,40,0,VA,100,,,"KAINE, Tim",K000384,1958,,-0.244,-0.059,-85.13005,0.87795,654,33,,-0.255,0.005
mark warner,Mark Warner ,Sen,03-Jan-17,MarkWarner,MarkWarner,MarkWarner,MarkWarner,,116,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.204,-0.046,-76.34291,0.88934,651,27,,-0.222,-0.019
maria cantwell,Maria Cantwell ,Sen,03-Jan-01,SenatorCantwell,SenatorCantwell,SenatorCantwell,SenatorCantwell,,116,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria",C000127,1958,,-0.305,-0.413,-107.55869,0.84962,660,43,,-0.36,-0.36
patty murray,Patty Murray ,Sen,03-Jan-17,PattyMurray,PattyMurray,PattyMurray,PattyMurray,,116,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.352,-0.307,-86.93251,0.87111,630,36,,-0.4,-0.275
joe manchin,Joe Manchin ,Sen,15-Nov-10,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,,116,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe",M001183,1947,,-0.06,0.417,-70.67489,0.89772,655,19,,-0.052,0.388
shelley capito,Shelley Moore Capito,Sen,03-Jan-15,SenCapito,SenCapito,SenCapito,SenCapito,,116,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley",C001047,1953,,0.276,0.104,-25.09321,0.96101,631,4,,0.326,0.177
tammy baldwin,Tammy Baldwin ,Sen,03-Jan-13,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,,116,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.493,-0.136,-132.28905,0.81985,666,65,,-0.396,-0.001
ron johnson,Ron Johnson ,Sen,03-Jan-11,SenRonJohnson,SenRonJohnson,SenRonJohnson,SenRonJohnson,,116,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.626,-0.16,-45.72966,0.93135,643,25,,0.61,0.017
john barrasso,John Barrasso ,Sen,03-Jan-19,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,,116,Senate,40707,68,0,WY,200,,,"BARRASSO, John",B001261,1952,,0.536,0.216,-30.88484,0.95482,668,16,,0.602,0.323
mike enzi,Mike Enzi ,Sen,03-Jan-97,SenatorEnzi,SenatorEnzi,SenatorEnzi,SenatorEnzi,,116,Senate,49706,68,0,WY,200,,,"ENZI, Mike",E000285,1944,2021,0.545,0.199,-42.601,0.93551,639,16,,0.587,0.414
